Date,aapl,msft,mmm,ibm,jpm,wmt,yhoo,gps,ge,f
2009-01-02,12.17778,17.18093,49.9597,76.72518000000001,27.59887,48.87596,12.85,12.36182,13.6434,2.23474
2009-01-05,12.69173,17.3415,49.3773,76.24219000000001,25.75014,48.311809999999994,12.86,12.29553,13.29173,2.34375
2009-01-06,12.482389999999999,17.54433,49.9597,78.35857,26.304759999999998,47.88442,13.0,12.58723,13.47556,2.50727
2009-01-07,12.21267,16.48795,49.014359999999996,77.09401,24.728939999999998,47.47413,12.71,11.98615,12.87611,2.44368
2009-01-08,12.43945,17.00346,49.444829999999996,76.55833,23.96303,43.91827,13.07,11.42043,12.900089999999999,2.44368
